,ID,Tweet,Affect Dimension,Intensity Class,tweet_desc
322,2017-En-30659,A not very young man compiled info on a smiling baby then a mattress created new evil.,valence,0: neutral or mixed emotional state can be inferred,not young man compile info smile baby mattress create new evil
323,2017-En-30123,Food that gets delivered 😍🙌🏻  ,valence,2: moderately positive emotional state can be inferred,food get deliver
324,2017-En-30273,Watching Avatar and wondering why I took so long to watch this *collapses in a joyous heap*,valence,3: very positive emotional state can be inferred,watch avatar wonder take long watch collapse joyous heap
325,2017-En-30629,Final night shift coming up.  I won't miss it but I will miss my work pals and the hysterical laughter that gets us through the night,valence,0: neutral or mixed emotional state can be inferred,final night shift come wonot miss miss work pal hysterical laughter get u night
326,2017-En-10269,Did we miss the fact that #BurkeRamsey swung &amp;hit his sister #JonBenet in the face with a golf club previously out of a fit of #anger?,valence,-3: very negative emotional state can be inferred,miss fact swung amp hit sister face golf club previously fit
327,2017-En-40570,"@MendipHillsAONB do we think the swallows and swifts have gone? Photo'd 3 nights ago, not seen since.  #Autumn",valence,-1: slightly negative emotional state can be inferred,think swallow swift go photowould night ago not see since
328,2017-En-31459,@soboleskih Okay this is hilarious,valence,3: very positive emotional state can be inferred,okay hilarious
329,2017-En-11678,Another loss to city in the cup next 🙈 😂😂 cmon united! ,valence,1: slightly positive emotional state can be inferred,another loss city cup next cmon unite
330,2017-En-21966,I'm so confused by the new American horror story 😩,valence,-2: moderately negative emotional state can be inferred,iam confuse new american horror story
331,2017-En-30626,only time I am ever cheering for you Johnny,valence,0: neutral or mixed emotional state can be inferred,time ever cheer johnny
332,2017-En-30261,@safaridjh but it's so aesthetically pleasing omg,valence,3: very positive emotional state can be inferred,aesthetically please omg
333,2017-En-31115,@JessicaZ00 @ZRlondon ditto!! Such an amazing atmosphere! #PhilippPlein #cheerleaders #stunt #LondonEvents ,valence,3: very positive emotional state can be inferred,ditto amazing atmosphere
334,2017-En-10969,HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! @BBNicole #BB18 sorry not sorry #bitter #bbmichelle,valence,0: neutral or mixed emotional state can be inferred,huge congratulation nicole win big brother sorry not sorry
335,2017-En-30489,i'm doing laundry and watching that 70's show with a bunch of strangers. #happy #birthday #to #me,valence,2: moderately positive emotional state can be inferred,iam laundry watch show bunch stranger
336,2017-En-11279,@AmericanAir I am irate at you check-in system. I have tried to checkin all day and it wouldn't let me do it because I had no seat assigned,valence,-2: moderately negative emotional state can be inferred,irate check system try checkin day wouldnot let no seat assign
337,2017-En-30287,@kymwhitley hello Miss Lady I'm sure today brings you happiness and laughter use your voice also to make us laugh  god knows we need it,valence,1: slightly positive emotional state can be inferred,hello miss lady iam sure today bring happiness laughter use voice also make u laugh god know need
338,2017-En-21366,@comcast you charge 150 extra for sending someone out and your cable service still doesn't work. That's robbery.  #cable #horrible #service,valence,-3: very negative emotional state can be inferred,charge extra send someone cable service still doesnot work robbery
339,2017-En-30238,Only Geo is capable of cheering me up❤️❤️❤️,valence,1: slightly positive emotional state can be inferred,geo capable cheer
340,2017-En-40059,Am I the only person who dislikes fall? #FirstDayofFall #leaves #thingsdie #depressing #cold #noflipflops 👎🏾👎🏽👎🏻🍂🍁,valence,-2: moderately negative emotional state can be inferred,person dislike fall
341,2017-En-31500,"Latest on new optimism on keeping #Raiders in #Oakland, live right now on @KCBSNews: @NFL meets here w/Lott &amp; Schaaf to talk new stadium",valence,1: slightly positive emotional state can be inferred,latest new optimism keep live right meet w lott amp schaaf talk new stadium
342,2017-En-30772,Harking back to 2012 - DT's challenge to @POTUS...I will give...DT a hearty thank you...if he will release his tax returns....,valence,0: neutral or mixed emotional state can be inferred,hark back dt challenge give dt hearty thank release tax return
343,2017-En-20315,Accrington Stanley? Who are they? Exactly. Things looking dire for West Ham despite the win. What's changed since March? #bbcfootball,valence,0: neutral or mixed emotional state can be inferred,accrington stanley exactly thing look dire west ham despite win change since march
344,2017-En-31343,Let go of the need to need. And find your own joyous path through the richness that extends in every direction.,valence,1: slightly positive emotional state can be inferred,let go need need find joyous path richness extend every direction
345,2017-En-31227,"@seangrandillo I beg you, never stop smiling. You deserve to be happy and to know all the beautiful things that life can offers.",valence,1: slightly positive emotional state can be inferred,beg never stop smile deserve happy know beautiful thing life offer
346,2017-En-20663,i was just talking about it last week .. how does your outside appearance (ie. dread locks) affect the ability you have to work?,valence,0: neutral or mixed emotional state can be inferred,talk last week outside appearance ie dread lock affect ability work
347,2017-En-31507,Try to find the good in the negative. The negative can turn out to be good.\n#anxietyrelief #optimism #openminded,valence,1: slightly positive emotional state can be inferred,try find good negative negative turn good n
348,2017-En-30195,"Lmboo , using my nephew for meme ",valence,1: slightly positive emotional state can be inferred,lmboo use nephew meme
349,2017-En-20918,@LmRyle @tomcolicchio @realDonaldTrump @HillaryClinton @ajjaffe I understand your concerns but look at her foundation contributions ,valence,-2: moderately negative emotional state can be inferred,understand concern look foundation contribution
350,2017-En-30655,Well look at the bright side. You found a use for that rope #TipsToSurviveAPowerOutage,valence,0: neutral or mixed emotional state can be inferred,well look bright side find use rope
351,2017-En-41014,@reikimuse @MHChat I am beyond the sadness point. Have done it inside out. I live with CPTSD and BPD  I can't always do the pity party,valence,-2: moderately negative emotional state can be inferred,beyond sadness point inside live cptsd bpd cannot always pity party
352,2017-En-30755,"@rubeseatsinfo from here, it's but a short step to biweekly Community Meetings over a hearty meal of soy flakes",valence,1: slightly positive emotional state can be inferred,short step biweekly community meeting hearty meal soy flake
353,2017-En-10265,@StarklyDark 'I know you trusted me.' His words were soft as he ignored the anger and focused on the hurt beneath. 'I know I screwed up.' --,valence,-1: slightly negative emotional state can be inferred,know trust word soft ignore anger focus hurt beneath know screw
354,2017-En-10278,i have so much hw tonight im offended,valence,-2: moderately negative emotional state can be inferred,much hw tonight im offend
355,2017-En-31533,is it bad that kurt is literally me..? #glee,valence,-1: slightly negative emotional state can be inferred,bad kurt literally
356,2017-En-11475,@BitchestheCat Look at those teef! #growl,valence,-1: slightly negative emotional state can be inferred,look teef
357,2017-En-11276,@Bickley_Marotta yea because forcing 5 turnovers and holding a pretty good offense to 7 points is concerning.....oh wait. NO!!,valence,-2: moderately negative emotional state can be inferred,yea force turnover hold pretty good offense point concern oh wait no
358,2017-En-40755,@hannah_2401 hannah stop being mournful and chill 💁,valence,-1: slightly negative emotional state can be inferred,hannah stop mournful chill
359,2017-En-30802,Wanted to get him a cake with sparkling candles but he doesn't like cake😒😒. Ruins everything,valence,-3: very negative emotional state can be inferred,want get cake sparkling candle doesnot like cake ruin everything
360,2017-En-21567,Not sure if thats an accomplishment or something to worry about,valence,-1: slightly negative emotional state can be inferred,not sure thats accomplishment something worry
361,2017-En-21501,8. sweater weather - the neighbourhood\ngirls/girls/boys - panic! at the disco,valence,0: neutral or mixed emotional state can be inferred,sweater weather neighbourhood ngirls girl boys panic disco
362,2017-En-31251,"But the lady at the store said I had nice eyelashes so that's good, right? #optimism? @verizon",valence,3: very positive emotional state can be inferred,lady store say nice eyelash good right
363,2017-En-30060,Made my night that @GordonReid91 Reid was included in tonight's hilarity. Some of those points were brilliant. Thanks @andy_murray,valence,3: very positive emotional state can be inferred,make night reid include tonight hilarity point brilliant thanks
364,2017-En-40319,@LondonMidland #dobetter only two carriages on 14:49 Birmingham to Hereford no room to stand anymore Friday commute #unhappy,valence,-3: very negative emotional state can be inferred,two carriage birmingham hereford no room stand anymore friday commute
365,2017-En-30600,Lil reminder that my private account is a delight of shittalking and occasionally NSFW stuff! @AngryArchosaur,valence,0: neutral or mixed emotional state can be inferred,lil reminder private account delight shittalking occasionally nsfw stuff
366,2017-En-20861,Jeans with fake pockets #horrible,valence,-2: moderately negative emotional state can be inferred,jean fake pocket
367,2017-En-10285,@EagleGiles23 @tgilmore_92 what I miss? #outrage,valence,-2: moderately negative emotional state can be inferred,miss
368,2017-En-30769,@govph I would like to know about the source of The President's optimism about running the country. I wonder if he can answer my curiosity.,valence,-2: moderately negative emotional state can be inferred,would like know source president optimism run country wonder answer curiosity
369,2017-En-40228,Some moving clips on youtube tonight of the vigil held at Tulsa Metropolitan Baptist church for #TerenceCruther #justice #anger #sadness,valence,-3: very negative emotional state can be inferred,move clip youtube tonight vigil hold tulsa metropolitan baptist church
370,2017-En-30293,Do what makes you successful and #happy now and forever,valence,3: very positive emotional state can be inferred,make successful forever
371,2017-En-30700,One time I saw Rachel from glee tell someone their job was on a pole and I said that in 5th grade to a boy and he look confused,valence,0: neutral or mixed emotional state can be inferred,one time saw rachel glee tell someone job pole say th grade boy look confused
372,2017-En-20493,"@tbergg1 mine are good rn, gonna be horrid after next week",valence,0: neutral or mixed emotional state can be inferred,mine good rn gonna horrid next week
373,2017-En-22095,@Patsy1207 @markheardusa @theinquisitr Do your fuc*ing job and report the news.Just another bully to go in the basket.Freedom or fear???,valence,-3: very negative emotional state can be inferred,fuc ing job report news another bully go basket freedom fear
374,2017-En-11342,@jamiesmart Huh! It's always my fault isn't it &gt;:(  #sulk,valence,-2: moderately negative emotional state can be inferred,huh always fault isnot gt
375,2017-En-10186,@RonMexico760 The guy who calls people 'cuck' and is anti-BLM is offended by idea that he might not be pro-policing reform? That's amazing.,valence,1: slightly positive emotional state can be inferred,guy call people cuck anti blm offend idea might not pro police reform amaze
376,2017-En-20632,@BrandedByCas I was like that when I started college. It was horrific but it probably will get better. Don't give up yet,valence,0: neutral or mixed emotional state can be inferred,like start college horrific probably get better donot give yet
377,2017-En-41239,I'm strong 'cause I'm weak\nI'm beautiful 'cause I know my flaws\nI'm fearless 'cause I've been afraid\nI can laugh 'cause I've known sadness..,valence,0: neutral or mixed emotional state can be inferred,iam strong cause iam weak niam beautiful cause know flaw niam fearless cause ihave afraid ni laugh cause ihave know sadness
378,2017-En-31544,ari looks hilarious oh my g d this is too much,valence,3: very positive emotional state can be inferred,ari look hilarious oh g much
379,2017-En-31081,Wishing the Ipswich Tigers good luck in their games throughout homecoming week!! We are cheering you on here at the City Office! GO TIGERS!,valence,3: very positive emotional state can be inferred,wish ipswich tiger good luck game throughout homecoming week cheer city office go tiger
380,2017-En-40225,@RevTrevK @Wolfman93011 @Daraidernation @EROCKhd Take 2k out of it the numbers on madden are low and have dropped and people are unhappy,valence,-3: very negative emotional state can be inferred,take k number madden low drop people unhappy
381,2017-En-41283,"@ChrisWarcraft species cf. Don Jr. refugees/Skittles.know he likes his snacks,but even @gop frown on talking about eating humans #lizardscum",valence,0: neutral or mixed emotional state can be inferred,specie cf jr refugee skittle know like snack even frown talk eating human
382,2017-En-21982,"@joeyskawaii i know i don't know u, but physiatrists are seriously the number one best thing for people with anxiety.",valence,0: neutral or mixed emotional state can be inferred,know donot know u physiatrists seriously number one best thing people anxiety
383,2017-En-30743,Gas prices are hilarious. Cause they're simultaneously super subsidised and taxed,valence,0: neutral or mixed emotional state can be inferred,gas price hilarious cause theyare simultaneously super subsidise tax
384,2017-En-40635,@_Mrs_Peel @lp_lisa @PaulRGoulden @LisaLuscious Might be the pout of a star baker tho !,valence,0: neutral or mixed emotional state can be inferred,might pout star baker tho
385,2017-En-31274,@lilymacintyre_ she was my favourite such a joyful soul,valence,1: slightly positive emotional state can be inferred,favourite joyful soul
386,2017-En-11217,"She began to squirm beneath @hcllbent, struggling to get out of his relentless grasp. When she realized that the attempt was useless,++",valence,-2: moderately negative emotional state can be inferred,begin squirm beneath struggle get relentless grasp realize attempt useless
387,2017-En-30138,"When you wake up from a dream laughing at something stupid, and that makes you laugh more ",valence,2: moderately positive emotional state can be inferred,wake dream laugh something stupid make laugh
388,2017-En-40324,"@narcissusheiyan  maybe it'd have been different if I stayed for sixth form? But still, the oppressive architecture, uninteresting people",valence,-2: moderately negative emotional state can be inferred,maybe itwould different stay sixth form still oppressive architecture uninteresting people
389,2017-En-40457,"Niggas murking in each other. In murky water, I try to swim.",valence,-2: moderately negative emotional state can be inferred,nigga murk murky water try swim
390,2017-En-40751,why do i have such a thing for dark curly hAIR,valence,-2: moderately negative emotional state can be inferred,thing dark curly hair
391,2017-En-41051,@rosalarian i hate post con blues! But i avoided the plague too yay!! Yay constant hand sanitizer!!!,valence,0: neutral or mixed emotional state can be inferred,hate post con blue avoid plague yay yay constant hand sanitizer
392,2017-En-41133,I get embarrassed at the slightest things and then I'll fret about it all day I hate it,valence,-2: moderately negative emotional state can be inferred,get embarrass slightest thing iwill fret day hate
393,2017-En-30559,"Had a coworker look at her phone and say, cheerfully, 'oh look, Kap's getting death threats now.' 🙄. Then she goes to say the 49ers are",valence,0: neutral or mixed emotional state can be inferred,coworker look phone say cheerfully oh look kap get death threat go say er
394,2017-En-30466,"To all who follow me, whether we've ever talked or not hope you have a joyous life. Goodbye.",valence,2: moderately positive emotional state can be inferred,follow whether wehave ever talk not hope joyous life goodbye
395,2017-En-40010,Honestly depression is kicking my ass lately.. 😔,valence,-3: very negative emotional state can be inferred,honestly depression kick lately
396,2017-En-30699,"@musicfae15 [He grumbled as he sat atop the sushi bar stool, crossing his arms defiantly, in a playful gesture, though he gave anyone who &gt;",valence,0: neutral or mixed emotional state can be inferred,grumble sit atop sushi bar stool cross arm defiantly playful gesture though give anyone gt
397,2017-En-30164,@jimadair3 Guitar shop owners everywhere rejoice,valence,1: slightly positive emotional state can be inferred,guitar shop owner everywhere rejoice
398,2017-En-31111,A #smile doesn't always mean a person is #happy . Sometimes it simply means they are #strong enough to face their own #problems .,valence,0: neutral or mixed emotional state can be inferred,doesnot always mean person sometimes simply mean enough face
399,2017-En-30711,"god, Facebook's design has started to remind me of MySpace in its heyday",valence,1: slightly positive emotional state can be inferred,god facebook design start remind myspace heyday
400,2017-En-21627,Whenever you are confronted by a wild animal or hostile individual remember that they can smell #fear or the fact you #poop your pants.,valence,-2: moderately negative emotional state can be inferred,whenever confront wild animal hostile individual remember smell fact pant
401,2017-En-20623,broken policy' #blasio &lt;&gt; #trump #giuliani 'broken windows' all part of 'pecking order' #bully politics #america RESIST #motto,valence,-2: moderately negative emotional state can be inferred,broken policy lt gt break windows part peck order politics resist
402,2017-En-30186,It's Thursday which means it's Grey's day #TGIT ,valence,1: slightly positive emotional state can be inferred,thursday mean grey day
403,2017-En-31512,"I envy ice, at least if you give it warmth it melts #TaylorLautner #Twilight #hilarious #quote",valence,0: neutral or mixed emotional state can be inferred,envy ice least give warmth melt
404,2017-En-11648,Seeing double am so tired but I always grudge getting off my phone at night 🙄,valence,-2: moderately negative emotional state can be inferred,see double tired always grudge get phone night
405,2017-En-30853,@GameGrumps THANK YOU SO MUCH FOR COMING TO DETROIT I'm going to sob joyful rainbows now brb,valence,3: very positive emotional state can be inferred,thank much come detroit iam go sob joyful rainbow brb
406,2017-En-21645,@Pamela_Moore13 @Ginlefebvre @BarackObama yes exactly &amp; he's sold out this country to #terror while #lying to cover it up,valence,-2: moderately negative emotional state can be inferred,yes exactly amp sell country cover
407,2017-En-31366,@headfirst_dom I often imagine hoe our moon would feel meeting the jovial moons which are all special,valence,0: neutral or mixed emotional state can be inferred,often imagine hoe moon would feel meet jovial moon special
408,2017-En-30172,My siblings look all gangster &amp; I look all cheery 😅😂,valence,2: moderately positive emotional state can be inferred,sibling look gangster amp look cheery
409,2017-En-31016,@daveweigel a laurel and hearty handshake,valence,1: slightly positive emotional state can be inferred,laurel hearty handshake
410,2017-En-10519,@marthalyssa yep. LOL ,valence,3: very positive emotional state can be inferred,yep lol
411,2017-En-11527,Losing the will 2 live with @virginmedia business bb gone down on hold for 23 minutes &amp; whoever picked up cut me off #fuming #NoWorkForMe,valence,-3: very negative emotional state can be inferred,lose live business bb go hold minute amp whoever pick cut
412,2017-En-10608,@RiotzXVl papercuts sting and stub ur toe last for like 10 secs,valence,0: neutral or mixed emotional state can be inferred,papercuts sting stub ur toe last like sec
413,2017-En-41166,@OniLink86 @DarekMeridian lmao awe... ,valence,0: neutral or mixed emotional state can be inferred,lmao awe
414,2017-En-11264,I asked Jared to marry me and he said no. #offended,valence,-3: very negative emotional state can be inferred,ask jar marry say no
415,2017-En-31223,"Good Master Vernon, welcome, nephews, from Bellario :\nThere is my lord, that thou interrupt'st our merriment.",valence,0: neutral or mixed emotional state can be inferred,good master vernon welcome nephew bellario nthere lord thou interruptt merriment
416,2017-En-41115,@OpentheDoorRadi thanks for playing Crock Pot Going #radio #blog #blues #music #indiemusic,valence,3: very positive emotional state can be inferred,thanks play crock pot go
417,2017-En-40537,Fellaini has been playing ahead of this guy...just let that sink in,valence,0: neutral or mixed emotional state can be inferred,fellaini play ahead guy let sink
418,2017-En-31101,"The world needs more laughter, more love, and a little more of you. - R.M Drake.",valence,1: slightly positive emotional state can be inferred,world need laughter love little r drake
419,2017-En-10064,Boycotting @DunkinDonuts till butter pecan comes back. I am furious,valence,-2: moderately negative emotional state can be inferred,boycott till butter pecan come back furious
420,2017-En-40312,"@OnesOwnGrief Just a shame his world was gloom from day one almost.Though it makes sense he'd have the whole part hydra,part s.h.i.e.l.d(c)",valence,-2: moderately negative emotional state can be inferred,shame world gloom day one almost though make sense hewould whole part hydra part h e l c
421,2017-En-30578,Go follow #beautiful #Snowgang ♥@Amynicolehill12 ♥ #Princess #fitness #bodyposi #haircut  #Whitegirlwednesday,valence,3: very positive emotional state can be inferred,go follow
422,2017-En-10760,"Tiangong 1, China's first space laboratory, will come to a fiery end in late 2017. The average decommissioned satellite either burns ...",valence,-1: slightly negative emotional state can be inferred,tiangong china first space laboratory come fiery end late average decommission satellite either burn
423,2017-En-31576,Cool to see when smart #CowboysTwitter folks chirp the same stuff you did during your review.  This is why I joined.,valence,1: slightly positive emotional state can be inferred,cool see smart folk chirp stuff review join
424,2017-En-10970,HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! @BBNicole #BB18 sorry not sorry  #bbmichelle,valence,3: very positive emotional state can be inferred,huge congratulation nicole win big brother sorry not sorry
425,2017-En-31265,After this news I'm supposed to be so damn happy and rejoicing but I'm here like 😩😔😭😞,valence,-3: very negative emotional state can be inferred,news iam suppose damn happy rejoice iam like
426,2017-En-20410,@Theresa_Talbot @fleurrbie Haha...sorry about the dreadful puns... I need to get out more....I've been cooped up lately...,valence,-2: moderately negative emotional state can be inferred,haha sorry dreadful pun need get ihave cooped lately
427,2017-En-30762,I was cheering for NA team. Now I just want this is over and Gaudreau comes back in one piece. It is getting way too risky,valence,0: neutral or mixed emotional state can be inferred,cheer na team want gaudreau come back one piece get way risky
428,2017-En-30492,It breaks my heart seeing people down or upset.. I will try my best to make them smile or cheer them up 🤗,valence,0: neutral or mixed emotional state can be inferred,break heart see people upset try best make smile cheer
429,2017-En-30815,"The abysmal ignorance, frivolity and levity of the Italian priests stupefied him.' - Roland Bainton on Luther, #ReformationDay",valence,-2: moderately negative emotional state can be inferred,abysmal ignorance frivolity levity italian priest stupefy roland bainton luther
430,2017-En-30423,Always doing the EmotionalHedge™ w #WPS\n\nI'm elated about start.  Have I mentioned I'm on TAMU -6?!,valence,0: neutral or mixed emotional state can be inferred,always emotionalhedge tm w n niam elate start mention iam tamu
431,2017-En-30955,#terribledebatequestions has given me so many laughs this afternoon! Thanks Twitter! #hilarious #cleverpeople,valence,3: very positive emotional state can be inferred,give many laugh afternoon thanks twitter
432,2017-En-21571,"When's it all finished, you will discover that it was never random! #thoughts #restless #CrossoverLife",valence,0: neutral or mixed emotional state can be inferred,finish discover never random
433,2017-En-31462,"@DayveeSutton BIG thank you for liking my little Pumpkin  :)  She's the smallest of my 4, but is very playful &amp; wakes me up most mornings.",valence,3: very positive emotional state can be inferred,big thank like little pumpkin happy smallest playful amp wake morning
434,2017-En-30028,"@Singaholic121 Good morning, love! Happy first day of fall. Let's make some awesome #autumnmemories #annabailey  ",valence,3: very positive emotional state can be inferred,good morning love happy first day fall let make awesome
435,2017-En-11443,What's with all pre industrial revolution-esque footwear? You guys tryin out for grapes of wrath today?,valence,0: neutral or mixed emotional state can be inferred,pre industrial revolution esque footwear guy tryin grape wrath today
436,2017-En-21222,Thanks for ripping me off again #Luthansa €400 not enough for a one way flight to man from Frk then €30 for a bag then free at gate ,valence,-2: moderately negative emotional state can be inferred,thanks rip eur not enough one way flight man frk eur bag free gate
437,2017-En-30957,"@paraplyene @soupper i just read it and it's so fun??!!!! So lighthearted and cheerful, i was right, it's a double cavity for me.",valence,2: moderately positive emotional state can be inferred,read fun lighthearted cheerful right double cavity
438,2017-En-20314,@Fly_Norwegian quite simply the #worst #airline #worstairline I've ever used! #shocking #appauling #dire #dismal #beyondajoke #useless,valence,-3: very negative emotional state can be inferred,quite simply ihave ever use
439,2017-En-30262,"#Followback Quote_Soup: Be happy not because everything is good, but because you can see the good side of everything. ",valence,0: neutral or mixed emotional state can be inferred,quote soup happy not everything good see good side everything
440,2017-En-31551,Like I said ➡ there's plenty of cheddar in the cheese to go around! For everyone. ☺ ,valence,3: very positive emotional state can be inferred,like say plenty cheddar cheese go around everyone
441,2017-En-10455,@Kim_is__bored exactly what I have been saying on fb.. #bitter,valence,-2: moderately negative emotional state can be inferred,exactly say fb
442,2017-En-41331,@MCHorseFayse @bockaguyjim @generalgoodsman @nevernotdavid so you were owned by losers on Twitter ,valence,-3: very negative emotional state can be inferred,loser twitter
443,2017-En-20462,@realDonaldTrump She blamed Benghazi on a YouTube video. She blamed emails on #ColinPowell. Now she blames #terrorism on you. #weakHillary,valence,-2: moderately negative emotional state can be inferred,blame benghazi youtube video blame email blame
444,2017-En-10247,i will never watch greys anatomy ever ever ever ever ever again if Shonda Rimes takes away another OG character☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️ #fuming,valence,-3: very negative emotional state can be inferred,never watch grey anatomy ever ever ever ever ever shonda rime take away another og character
445,2017-En-21103,"@turoturok  We're glad to hear that everything is resolved. If you need anything else, please do not hesitate to reach out to us.  TY!",valence,1: slightly positive emotional state can be inferred,weare glad hear everything resolve need anything else please not hesitate reach u ty
446,2017-En-31359,"...X, X... Do... you... hear... me? Darn... Your... optimism led... ...to your own... demise... ... You... should... li...live #ZeroBOT",valence,0: neutral or mixed emotional state can be inferred,x x hear darn optimism lead demise li live
447,2017-En-31588,Well that draw is lively! #EFLCup,valence,1: slightly positive emotional state can be inferred,well draw lively
448,2017-En-31234,@mrfisher81 Just my attempt at levity 😉,valence,0: neutral or mixed emotional state can be inferred,attempt levity
449,2017-En-41214,"Only God knows why things happen, sometimes it's just hard to understand.  #prayingforyou",valence,-1: slightly negative emotional state can be inferred,god know thing happen sometimes hard understand
450,2017-En-30965,The little sniffle at the end of the song gets me every time. ,valence,0: neutral or mixed emotional state can be inferred,little sniffle end song get every time
451,2017-En-21572,"When's it all finished, you will discover that it was never random! #thoughts  #CrossoverLife",valence,0: neutral or mixed emotional state can be inferred,finish discover never random
452,2017-En-31520,"@FaultlessFacade &lt;she really said in response to what she perceived as a forced jovial tone. With that, she slid out of the jeep and onto&gt;",valence,-2: moderately negative emotional state can be inferred,lt really say response perceive forced jovial tone slide jeep onto gt
453,2017-En-30833,@Bluebelle89 @lsmith855 liking the optimism,valence,0: neutral or mixed emotional state can be inferred,like optimism
454,2017-En-10286,"@AllegedLowbrow It's 'Eye-for-Eye'. Indian Army never forgives, Never Forgets. They always take revenge, Pakistan breaks laws, I.A follows",valence,-2: moderately negative emotional state can be inferred,eye eye indian army never forgive never forgets always take revenge pakistan break law follow
455,2017-En-11104,@inthefade going back to blissful ignorance?! ,valence,-2: moderately negative emotional state can be inferred,go back blissful ignorance
456,2017-En-40638,Already plotting next steps if I get cut off by the same minivan in tomorrow's drop-off line. #preschoolpolitics #momthings ,valence,-2: moderately negative emotional state can be inferred,already plot next step get cut minivan tomorrow drop line
457,2017-En-30296,#smile every morning to a positive head start with your #clients relations,valence,3: very positive emotional state can be inferred,every morning positive head start relation
458,2017-En-31580,"I'll find Myself smiling and even laughing at jokes that I don't even think are particularly funny, and I know it's because YOU love them!",valence,2: moderately positive emotional state can be inferred,iwill find smile even laugh joke donot even think particularly funny know love
459,2017-En-30753,my haters are like crickets. they chirp all day but when I walk past them they shut the fuck up.- @DritaDavanzo (my idol),valence,0: neutral or mixed emotional state can be inferred,hater like cricket chirp day walk past shut fuck idol
460,2017-En-30382,Thinking about trying some comedy on youtube. Always been fond of it. Time to nut up.  #comedy #maybeoneday #hopefullyfunny #LOL,valence,3: very positive emotional state can be inferred,think try comedy youtube always fond time nut
461,2017-En-41035,It hasn't sunk in that I'm meeting the twins,valence,0: neutral or mixed emotional state can be inferred,hasnot sunk iam meet twin
462,2017-En-20128,"@nigglydz lydiaaaa, we were the only ones that were supposed to know that you make me nervous 😶",valence,-2: moderately negative emotional state can be inferred,lydiaaaa one suppose know make nervous
463,2017-En-31568,@priny_baby happppy happppyyyyyy happppppyyyyy haaapppyyyy birthday best friend!! Love you lots 💖💖💖💖💖💖💖🎉🎊 #chapter22 #bdaygirl  #love,valence,3: very positive emotional state can be inferred,happppy happppyyyyyy happppppyyyyy haaapppyyyy birthday best friend love lot
464,2017-En-31079,"@peregrinator1 I admittedly went into this series thinking we'd see the Jedi in their heyday, not as dysfunctional UN Peacekeepers in space",valence,-2: moderately negative emotional state can be inferred,admittedly go series thinking wewould see jedi heyday not dysfunctional un peacekeeper space
465,2017-En-10978,@TheRevAl please tell us why 'protesting' injustice requires #burning #beating and #looting terrible optics #toussaintromain is true leader!,valence,-2: moderately negative emotional state can be inferred,please tell u protest injustice require terrible optic true leader
466,2017-En-30877,"@airtelindia have some issues with my broadband bill ,I am charged for the month before I signed up with airtel.. #hilarious",valence,1: slightly positive emotional state can be inferred,issue broadband bill charge month sign airtel
467,2017-En-30595,what happened to breezy,valence,0: neutral or mixed emotional state can be inferred,happen breezy
468,2017-En-31221,brennan cook and breezy should get back together😍😍😍,valence,1: slightly positive emotional state can be inferred,brennan cook breezy get back together
469,2017-En-30748,Who actually chooses to drink sparkling water 🤔,valence,0: neutral or mixed emotional state can be inferred,actually choose drink sparkling water
470,2017-En-31256,The true way to render ourselves #happy is to love our work and find in it our pleasure. Francoise de Motteville,valence,1: slightly positive emotional state can be inferred,true way render love work find pleasure francoise de motteville
471,2017-En-20154,im like 'this is better' in the moment cuz i panic and then later its so obviously not better. at every opportunity i choose to make it seem,valence,1: slightly positive emotional state can be inferred,im like better moment cuz panic later obviously not better every opportunity choose make seem
472,2017-En-40045,Well my evaluation came back and i am minimally effective. Student test scores on the PARCC sunk my eval. it's time for me to quit teaching,valence,-3: very negative emotional state can be inferred,well evaluation come back minimally effective student test score parcc sunk eval time quit teaching
473,2017-En-40664,@markoheight @Cassie_OB we sound like vampires saying we wanna sink our teeth into the TT lads and their talents 😂😂😂😂😂😂,valence,1: slightly positive emotional state can be inferred,sound like vampire say wanna sink teeth tt lad talent
474,2017-En-30039,Getting my comedic relief w/ @SofiaVergara during season premiere of #ModernFamily. Just what a girl needs! #hilarious,valence,2: moderately positive emotional state can be inferred,get comedic relief w season premiere girl need
475,2017-En-21422,@rihaBabyJ Aw no problem. I just felt like speaking because I felt the same before and I want you to overcome it and not be discouraged. :),valence,0: neutral or mixed emotional state can be inferred,aw no problem felt like speaking felt want overcome not discourage happy
476,2017-En-30962,"@CarolynTopol Ciara asks was it a sci-fi movie, Julie &amp; Jen just stare, Claire on her phone, Joey bolts when the cab honks. LMAO ",valence,2: moderately positive emotional state can be inferred,ciara asks sci fi movie julie amp jen stare claire phone joey bolt cab honk lmao
477,2017-En-40226,I have no clue where my charger is... #lost,valence,-2: moderately negative emotional state can be inferred,no clue charger
478,2017-En-30007,"#BridgetJonesBaby is the best thing I've seen in ages! So funny, I've missed Bridget! #love  #TeamMark",valence,2: moderately positive emotional state can be inferred,best thing ihave see age funny ihave miss bridget
479,2017-En-31175,*gets crushes on fictional and animated characters instead if real people*,valence,0: neutral or mixed emotional state can be inferred,get crush fictional animated character instead real people
